value,type,description
"89bed25442c981eb04da5b87541167304d19307f,4c006c4c8249feb210ebdc517123eab83df932c118f5d5a3708cb73ad3a5b9fc,a9fd1db3ea8c4f4e2859d32e3c147342",file,SLIVER sample
"91c6c4e176a21f9a1cfa8ef4ec82f68f34af043b,bae9ac3a35ea448a4deed5255e1f153b355b94928b94dee03db111f61e3be613,b10092cfb5a182f9aeeb64f6f8dbb487",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"946345fcad99b0b82cf8518c075bfb2cf77028fd,6aeb859aba972f9d341c5ab433d6267553acd3e898d586e50f958f06f06a8694,117da3d1c87c17919e435c6e7f83e585",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"9f524d58d79b3642627891bb573741d1c26b241e,0cf93de64aa4dba6cec99aa5989fc9c5049bc46ca5f3cb327b49d62f3646a852,52d8f2adf4a524b25feec1c82566f615",file,BACKWASH sample
"9fb5ce9bdeebf7f3bcdee902e8f2422a8a5d5b0d,8738e197cb75867a95e906dd050e25acb35daf579feab1759d1620a247ee54db,58f274e58bbe1ed3c557a6246455d761",file,SLIVER sample
"a6c38d65d023049527d8a738f3ad957ffb334fc9,3d76e41c270fc5d9f5409194195ad3172d80105cce8c8959273d4532f656f9db,aa2b3f3609483d534822b88ec0ad240f",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"aa096a095ff2bf386f82bfe0152227589df23d94,4a30e4382f82f52fa0567209ffdc969d62e1ba67ff97607e7b1de3160d4e5d37,cadddbcfab7e8706a7367b3c3d143870",file,NETCAT sample
"ac6260df96175e0b7d5d18ed8515886f7030db6f,2ddf38252bf39dabb6b8b1bef1afdab07fe2f3cbbc6b08c3b20c8d5eb3323824,a60a749d3fcbf4e840f47971dfd20727",file,PNGEXE sample
"bdd74bd79376540db1ab38b8579f1c766d3da0a1,870a8fd4b15553625e6c43d6f474a06e4eecc9d8dae7aac69284f8d333582e82,1909d6d0cae603b8946334b18e1c16d5",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"c174277f40bd9e8cc794cfee6710a616583c00e0,b7b78080d559c623a60f8fa8d562575d09ed6292301209c605f59b5a27fd564f,24270f60936a435d5846281f66628c49",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"d1e47a20699997a5fd7eb5c532a24ae62514295c,f1580be39b7f14af9c9ee03c1b26f09db4fcf030f144383b1f40c739387885ae,c67acae584251bf9e0bbf94147923180",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"d3f6dd6d8cc42012fdcd248dcd144ea63a532ccf,42b71d9548a8dfac0e4b3fd3946329972bdc0e156402ca47e6bb1cd58ab9f77c,b2f0e43aee8e2b751f59452141dc1711",file,NETCAT sample
"d9180227f269d078a9f20aebb5d7ed0080ea5779,f2642c6179a06c3a98d9e5499ebc14c249e34e61fb88d065b0125ca1ad7290d5,6350c80dc855322b054c0a96aa49abc6",file,XESKim sample
"db086131afaec88f4a4daa23973d214d666d39c0,11d8b9be14097614dedd68839c85e3e8feec08cdab675a5e89c5b055a6a68bad,eaa579d911b8a47eaaea744d59d14708",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"e0377245b238182abb16fbddedacb942a68b149b,a387514b5d8fcf61a694a2ae7e54bfb491ae54d9b134036b5b64df7dfd783744,08f385ceae05830eef2f072c26a9ee31",file,SLIVER sample
"e0a6d7cb813523085df733529aa38355cd77ea7b,6f44a9c13459533a1f3e0b0e698820611a18113c851f763797090b8be64fd9d5,db5d2179f86acdf194ca5a4ba320c46d",file,BACKWASH sample
"e4935273ca73e715f2df73176825874d364b6fc9,98a7a3b44427d0f6a8b3653e2aa45d20398390874b5849659b82203a26ec15e6,407821503e851483bbc236ea83a22918",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"e5283d8819673c8cf93aa7dc986558ed287b8644,21683e02e11c166d0cf616ff9a1a4405598db7f4adfc87b205082ae94f83c742,85840fd00fc49e91f5c1002382e8f253",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"e6973077fbad92af5113d21bf47de7a88e20485f,984b5c740598fcb2894c1fefd121d2b2d2d108bf64669678e856d360fd28af2b,3303250c731f487b1e74abceedd23e36",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"e793e80cee6bdd192bb792508ed4e829c7080757,802e7b3617246af112ed8f1e014d9d7227076f18b1bccd396fb43487c6792d6a,6c7a6486795bc8ca2414318a7f4e9f36",file,PNGEXE sample
"f1b4d40e84a0cbfaaf4b0d375e0c86e0762d711b,1f1cf7d1a635f9caf1ea4a5389a4ddb8992b9c2c99c8f5c2bdcd950a7266fa3e,721cb0b572df2a4eb0918421e8dc177d",file,SLIVER sample
"f21b370ef303aaf28a564fab47a6210e2360e3de,16f7abb3a112d651c015d3f8c16f9ff94a8a2339b1ec1ef5e51adb7fb6805d54,fc7df21f238fd0341261e2c8d7499b6d",file,Infrastructure and samples uncovered relating to Vietnamese Credit Card Skimming actor XEGroup.
"f29e5093c9aca31f765c4c98fbc90a6ef9191a9b,306387222c7ef2726604fba3c062dc358dea1560041d705aa093fa16a5e93a6e,afcd08ed021440b3e8932e29c2b99b5b",file,PNGEXE sample
