value,entity_type,description
"76d9654f28bcaa713a99caa2839a572fc999a726827a0216da71ac184cee6d19,bfdd02fa593d3858399da6bf591aeb10b2d1da40,f5d8664cbf4a9e154d4a888e4384cb1d",file,UTA0137 related indicators
"37bfa72c2820bcf9adb8707ae624452e0b769bc1c1f2a24ebb518c6e1794f3e2,c1c3454ed5bf32f22c855b19618bcd16e6549df8,a9182c812c7f7d3e505677a57c8a353b",file,UTA0137 related indicators
"c981aa1f05adf030bacffc0e279cf9dc93cef877f7bce33ee27e9296363cf002,e5182d13d66c3efaa7676510581d622f98471895,2d4a5050c7ea6c83665807df151e067e",file,UTA0137 related indicators
"38e1c0ca15ed83ed27148c31a31e0b33de627519ab2929d4aa69484534589086,2dfe824d0298201e0efb30f16b3ce8a409ffe006,cd7067d58e2319ebc8ed0ecd6b61b2b6",file,UTA0137 related indicators
"8c8ef2d850bd9c987604e82571706e11612946122c6ab089bd54440c0113968e,e76c3f3a7158c16c28176053286dcb88ac646dbf,55c90ff429e4fd72034922383aa31078",file,UTA0137 related indicators
"ae59ba12ec6a42ee5b08c3e2ce91ec02071b2f5ad9338e3a19d690bd68acb860,2c99e7e8a8a2965a6581729ec5b254f1b2bbda4b,2bf596603c432fa46b494dc3edd2d30f",file,UTA0137 related indicators
"9c1ffafe0bb4388569fed2a8d4af591ce65ae00f47793ee97c07f686c5fab100,e1bdb995998ab338fc596777a78121fc49f002b5,9f24f757b151a1d81f714075fe7d33d4",file,UTA0137 related indicators
"1e45d68106ca78f46be508427362b8ce24fdf5485c368f9369c913935cf04f99,3dff44bede709295fffd3ae3e9599f6ab8197af4,8bf9cf1363e404a9ad3e0fa9e53057cb",file,UTA0137 related indicators
"0b5cf9bd917f0af03dd694ff4ce39b0b34a97c9f41b87feac1dc884a684f60ef,7679f0e499edc2079a812cca945841c3680256d5,fbcd468dcd05cd1bf2ee25f16d09c227",file,UTA0137 related indicators
"98b24fb7aaaece7556aea2269b4e908dd79ff332ddaa5111caec49123840f364,dab2f50307c86544719ae5f72d386ac8bc4d01e3,777cbc972609d26fe6597a442cdf4589",file,UTA0137 related indicators
"74e0af32c47e3bbe6becfb4027bbdcc01fbe36c92c70ce8edd676cc9aa3d6437,616661c324a8dfb836bd88a3c1325dc79e030ddd,95e17125be0b0f4a4ea1b3d01cc73238",file,UTA0137 related indicators
"1844156b1a72a7daa8de4139175a2bdeb4bd326b9e3e1fb4dd2ae00b313b0a44,d6855190e00276cad29a31573f819558256abe7f,04a3f16c76f2e6d9eba34dd132fc8c27",file,UTA0137 related indicators
